Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	19:23 2/6/2020	127
Jim	19:23 2/6/2020	87
Lana	19:23 2/6/2020	168
TomH	19:23 2/6/2020	140
Mike	19:23 2/6/2020	137
Tom	23:43 2/6/2020	112
Lana	23:43 2/6/2020	113
Jim	23:44 2/6/2020	149
TomH	23:44 2/6/2020	150
Jim	0:29 2/0/2020	139
TomH	0:29 2/0/2020	129
Lana	0:29 2/0/2020	148
Mike	0:29 2/0/2020	133
dc	0:29 2/0/2020	124
TomH	11:53 2/0/2020	174
Jim	11:53 2/0/2020	130
Jim	11:53 2/0/2020	167
Lana	11:53 2/0/2020	106
Tom	11:53 2/0/2020	130
TomH	11:53 2/0/2020	151
dc	11:53 2/0/2020	111
Tom	11:53 2/0/2020	151
TomH	11:53 2/0/2020	100
dc	11:53 2/0/2020	134
Jim	11:53 2/0/2020	118
Mike	21:42 2/2/2020	171
Jim	21:42 2/2/2020	105
Grod	21:42 2/2/2020	150
Tom	17:44 3/6/2020	160
Jim	17:45 3/6/2020	106
dc	17:45 3/6/2020	103
Jim	18:7 3/6/2020	125
Mike	18:7 3/6/2020	126
Tom	18:7 3/6/2020	94
Jim	18:7 3/6/2020	134
Tom	18:7 3/6/2020	177
Tom	19:46 3/6/2020	112
Mike	19:46 3/6/2020	173
Mike	22:41 3/0/2020	144
