Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	19:23 2/6/2020	127
Jim	19:23 2/6/2020	87
Lana	19:23 2/6/2020	168
TomH	19:23 2/6/2020	140
Mike	19:23 2/6/2020	137
Tom	23:43 2/6/2020	112
Lana	23:43 2/6/2020	113
Jim	23:44 2/6/2020	149
TomH	23:44 2/6/2020	150
Jim	0:29 2/0/2020	139
TomH	0:29 2/0/2020	129
Lana	0:29 2/0/2020	148
Mike	0:29 2/0/2020	133
dc	0:29 2/0/2020	124
TomH	11:53 2/0/2020	174
Jim	11:53 2/0/2020	130
Jim	11:53 2/0/2020	167
Lana	11:53 2/0/2020	106
Tom	11:53 2/0/2020	130
TomH	11:53 2/0/2020	151
dc	11:53 2/0/2020	111
Tom	11:53 2/0/2020	151
TomH	11:53 2/0/2020	100
dc	11:53 2/0/2020	134
Jim	11:53 2/0/2020	118
Mike	21:42 2/2/2020	171
Jim	21:42 2/2/2020	105
Grod	21:42 2/2/2020	150
Tom	17:44 3/6/2020	160
Jim	17:45 3/6/2020	106
dc	17:45 3/6/2020	103
Jim	18:7 3/6/2020	125
Mike	18:7 3/6/2020	126
Tom	18:7 3/6/2020	94
Jim	18:7 3/6/2020	134
Tom	18:7 3/6/2020	177
Tom	19:46 3/6/2020	112
Mike	19:46 3/6/2020	173
Mike	22:41 3/0/2020	144
Lana	22:54 3/0/2020	117
Mike	23:0 3/0/2020	118
Jim	23:0 3/0/2020	123
Mike	23:9 3/0/2020	149
Mike	23:10 3/0/2020	110
Jim	10:4 3/1/2020	106
Lana	10:4 3/1/2020	156
Mike	10:6 3/1/2020	110
Mike	10:7 3/1/2020	184
Jim	10:7 3/1/2020	142
Jim	10:45 3/1/2020	108
Mike	11:29 3/1/2020	112
Jim	11:29 3/1/2020	152
Mike	11:30 3/1/2020	113
Mike	22:51 3/1/2020	114
Jim	23:22 3/1/2020	74
Lana	23:23 3/1/2020	134
Mike	23:25 3/1/2020	138
Mike	23:27 3/1/2020	110
Mike	23:28 3/1/2020	147
Jim	23:28 3/1/2020	124
Mike	23:29 3/1/2020	125
Jim	23:29 3/1/2020	82
Jim	23:34 3/1/2020	132
Lana	23:34 3/1/2020	110
Mike	23:36 3/1/2020	136
Jim	23:36 3/1/2020	175
Mike	23:45 3/1/2020	114
Jim	23:45 3/1/2020	112
Mike	23:46 3/1/2020	177
Mike	23:46 3/1/2020	147
Mike	23:49 3/1/2020	114
Jim	23:49 3/1/2020	127
Tom	23:51 3/1/2020	79
Lana	23:51 3/1/2020	106
TomH	23:52 3/1/2020	142
dc	23:52 3/1/2020	129
fv	23:52 3/1/2020	124
Mike	23:54 3/1/2020	111
Jim	0:25 3/2/2020	118
Tom	0:25 3/2/2020	110
Mike	0:31 3/2/2020	171
Jim	0:31 3/2/2020	91
Jim	17:39 3/2/2020	131
TomH	17:39 3/2/2020	116
